investor_id,investor_type,preferred_sector,preferred_district,capital_range_aed,risk_profile,investment_horizon,strategic_fit_score
INV-001,private_equity,industrial,Al Reef,15M-60M,conservative,long,74
INV-002,hnwi,industrial,Zayed City,500M-2B,balanced,short,63
INV-003,hnwi,residential,Al Maryah Island,8M-40M,balanced,short,91
INV-004,private_equity,residential,Al Reem Island,500M-2B,aggressive,long,91
INV-005,private_equity,commercial,Khalifa City,400M-1.5B,conservative,medium,90
INV-006,developer,hospitality,Al Reef,8M-40M,conservative,long,94
INV-007,hnwi,residential,Al Reem Island,500M-2B,balanced,long,85
INV-008,developer,community,Al Reem Island,8M-40M,balanced,medium,84
INV-009,hnwi,residential,Al Ghadeer,400M-1.5B,balanced,long,87
INV-010,family_office,mixed_use,Zayed City,50M-200M,conservative,long,74
INV-011,private_equity,mixed_use,Al Khalidiyah,100M-400M,conservative,long,79
INV-012,reit,logistics,Danet Abu Dhabi,30M-120M,balanced,short,76
INV-013,sovereign_fund,residential,Danet Abu Dhabi,50M-200M,aggressive,long,89
INV-014,family_office,logistics,Al Khalidiyah,400M-1.5B,conservative,long,80
INV-015,reit,commercial,Al Raha Beach,8M-40M,aggressive,long,75
INV-016,reit,commercial,Masdar City,100M-400M,balanced,medium,71
INV-017,private_equity,industrial,Al Ghadeer,200M-800M,conservative,long,100
INV-018,sovereign_fund,hospitality,Mussafah,30M-120M,aggressive,long,71
INV-019,developer,mixed_use,Corniche,150M-600M,aggressive,medium,89
INV-020,institutional,commercial,Mussafah,200M-800M,aggressive,medium,85
INV-021,developer,residential,Al Ghadeer,200M-800M,balanced,medium,93
INV-022,developer,hospitality,Masdar City,200M-800M,aggressive,short,86
INV-023,private_equity,hospitality,Corniche,30M-120M,aggressive,long,81
INV-024,private_equity,commercial,Mohammed Bin Zayed City,600M-2.5B,aggressive,short,69
INV-025,private_equity,hospitality,Khalifa City,8M-40M,balanced,medium,85
INV-026,institutional,industrial,Danet Abu Dhabi,30M-120M,aggressive,medium,78
INV-027,hnwi,mixed_use,Al Bahia,30M-120M,aggressive,long,77
INV-028,hnwi,mixed_use,Al Raha Beach,400M-1.5B,conservative,short,76
INV-029,family_office,community,Saadiyat Island,600M-2.5B,conservative,medium,78
INV-030,sovereign_fund,residential,Al Raha Beach,150M-600M,conservative,medium,90
INV-031,developer,logistics,Zayed City,100M-400M,aggressive,medium,80
INV-032,family_office,residential,Khalifa City,600M-2.5B,balanced,long,77
INV-033,developer,community,Mussafah,30M-120M,balanced,short,67
INV-034,developer,residential,Saadiyat Island,600M-2.5B,balanced,long,73
INV-035,family_office,community,Al Khalidiyah,600M-2.5B,balanced,medium,76
INV-036,hnwi,logistics,Al Ghadeer,50M-200M,balanced,long,81
INV-037,hnwi,community,Al Maryah Island,8M-40M,balanced,long,79
INV-038,hnwi,hospitality,Al Bahia,150M-600M,balanced,long,90
INV-039,developer,commercial,Al Maryah Island,50M-200M,aggressive,medium,77
INV-040,hnwi,hospitality,Mussafah,150M-600M,aggressive,short,78
INV-041,developer,logistics,Corniche,200M-800M,conservative,short,68
