transaction_id,date,district,asset_type,transaction_value_aed,size_sqm,price_per_sqm,buyer_type
TXN-01237,2023-01-01,Al Bateen,apartment,4646000,240,19358,developer
TXN-02343,2023-01-01,Al Raha Beach,townhouse,2438000,194,12569,individual
TXN-02905,2023-01-01,Zayed City,apartment,522000,63,8280,corporate
TXN-03096,2023-01-01,Al Maqta,apartment,813000,122,6664,individual
TXN-03661,2023-01-01,Al Maqta,villa,4416000,540,8177,corporate
TXN-00334,2023-01-02,Danet Abu Dhabi,retail,8098000,533,15194,corporate
TXN-00931,2023-01-02,Al Raha Beach,apartment,937000,64,14636,corporate
TXN-01044,2023-01-02,Al Raha Beach,villa,4932000,343,14378,corporate
TXN-01646,2023-01-02,Al Bateen,office,11176000,720,15522,corporate
TXN-02131,2023-01-02,Al Raha Beach,villa,9406000,411,22886,corporate
TXN-03309,2023-01-02,Al Ghadeer,retail,6280000,738,8509,individual
TXN-03576,2023-01-02,Al Maryah Island,apartment,1752000,81,21632,corporate
TXN-04856,2023-01-02,Saadiyat Island,townhouse,4213000,213,19779,fund
TXN-03021,2023-01-03,Yas Island,townhouse,4196000,297,14129,fund
TXN-04177,2023-01-03,Danet Abu Dhabi,hotel,77979000,8555,9115,fund
TXN-01470,2023-01-04,Yas Island,townhouse,3295000,273,12068,individual
TXN-02919,2023-01-04,Zayed City,land,23024000,5536,4159,individual
TXN-03052,2023-01-04,Al Maqta,townhouse,4042000,328,12324,individual
TXN-04560,2023-01-04,Al Reef,townhouse,1332000,205,6498,corporate
TXN-00766,2023-01-05,Masdar City,apartment,1830000,139,13167,corporate
TXN-01329,2023-01-06,Yas Island,hotel,46770000,6272,7457,developer
TXN-03478,2023-01-06,Khalifa City,apartment,3186000,252,12641,individual
TXN-04873,2023-01-06,Al Khalidiyah,townhouse,2571000,243,10579,individual
TXN-02947,2023-01-07,Al Raha Beach,apartment,1868000,128,14595,fund
TXN-00323,2023-01-08,Mohammed Bin Zayed City,land,83455000,26502,3149,fund
TXN-01332,2023-01-08,Al Reef,apartment,1008000,124,8129,developer
TXN-01803,2023-01-08,Al Maqta,apartment,1101000,137,8035,individual
TXN-01896,2023-01-08,Al Bahia,retail,8602000,778,11056,individual
TXN-03153,2023-01-08,Al Ghadeer,townhouse,1188000,218,5448,fund
TXN-03533,2023-01-09,Zayed City,apartment,898000,109,8234,individual
TXN-04042,2023-01-09,Al Bahia,villa,5202000,568,9158,fund
TXN-00117,2023-01-10,Mohammed Bin Zayed City,villa,6262000,609,10283,developer
TXN-00274,2023-01-10,Al Reem Island,villa,7210000,615,11723,individual
TXN-01375,2023-01-10,Al Ghadeer,apartment,761000,114,6678,corporate
TXN-02652,2023-01-10,Saadiyat Island,apartment,3598000,225,15991,developer
TXN-02963,2023-01-10,Danet Abu Dhabi,villa,4168000,292,14275,developer
TXN-03104,2023-01-10,Saadiyat Island,hotel,80524000,7053,11417,fund
TXN-03557,2023-01-10,Yas Island,villa,9302000,574,16205,fund
TXN-04534,2023-01-10,Mussafah,hotel,16539000,5599,2954,corporate
TXN-04949,2023-01-10,Al Bateen,apartment,3209000,251,12785,individual
TXN-01510,2023-01-11,Yas Island,office,22135000,1151,19231,individual
TXN-04348,2023-01-11,Khalifa City,apartment,685000,74,9260,corporate
TXN-00870,2023-01-12,Al Khalidiyah,hotel,58238000,7110,8191,corporate
TXN-01200,2023-01-12,Yas Island,townhouse,2873000,259,11091,fund
TXN-00803,2023-01-13,Mussafah,apartment,1954000,217,9005,individual
TXN-01443,2023-01-13,Al Maryah Island,land,70025000,9018,7765,individual
TXN-01575,2023-01-13,Corniche,warehouse,17843000,4902,3640,individual
TXN-01632,2023-01-13,Zayed City,apartment,2116000,260,8138,corporate
TXN-01924,2023-01-13,Mohammed Bin Zayed City,warehouse,9274000,3689,2514,individual
TXN-02748,2023-01-13,Mussafah,hotel,16005000,4169,3839,corporate
TXN-03383,2023-01-13,Masdar City,hotel,30202000,4217,7162,individual
TXN-04463,2023-01-13,Al Ghadeer,villa,4465000,505,8841,fund
TXN-00412,2023-01-14,Danet Abu Dhabi,land,48446000,14544,3331,fund
TXN-03512,2023-01-14,Mussafah,apartment,544000,82,6633,developer
TXN-03538,2023-01-14,Al Ghadeer,villa,2962000,400,7404,individual
TXN-03818,2023-01-14,Al Ghadeer,office,3173000,391,8114,individual
TXN-05000,2023-01-14,Yas Island,retail,12692000,713,17801,corporate
TXN-00001,2023-01-15,Masdar City,retail,6198000,316,19615,fund
TXN-03395,2023-01-15,Al Khalidiyah,apartment,953000,64,14897,corporate
TXN-04264,2023-01-15,Masdar City,apartment,848000,69,12293,fund
TXN-04625,2023-01-15,Masdar City,warehouse,6356000,1942,3273,individual
TXN-01057,2023-01-16,Corniche,hotel,106410000,9249,11505,corporate
TXN-02164,2023-01-16,Al Shamkha,villa,5402000,509,10612,corporate
TXN-03494,2023-01-16,Al Zahiyah,office,11845000,998,11869,developer
TXN-04747,2023-01-16,Al Raha Beach,land,178466000,27605,6465,individual
TXN-04780,2023-01-16,Al Ghadeer,office,4849000,711,6820,fund
TXN-04360,2023-01-17,Al Bahia,apartment,1585000,214,7407,fund
TXN-01567,2023-01-18,Al Ghadeer,apartment,563000,72,7825,corporate
TXN-02212,2023-01-18,Corniche,villa,9166000,574,15968,individual
TXN-04500,2023-01-18,Al Bateen,villa,13921000,647,21517,fund
TXN-04533,2023-01-18,Al Zahiyah,townhouse,3483000,291,11969,individual
TXN-00147,2023-01-19,Al Bahia,office,12504000,1028,12163,individual
TXN-00868,2023-01-19,Al Maryah Island,land,78008000,11098,7029,corporate
TXN-00919,2023-01-19,Al Maqta,apartment,1145000,170,6737,corporate
TXN-02929,2023-01-19,Khalifa City,townhouse,2157000,276,7817,developer
TXN-03726,2023-01-19,Al Ghadeer,office,2883000,335,8606,fund
TXN-04996,2023-01-19,Al Raha Beach,office,22086000,1121,19702,individual
TXN-01307,2023-01-20,Al Maryah Island,retail,14481000,504,28733,developer
TXN-01377,2023-01-20,Mussafah,land,20005000,9164,2183,fund
TXN-01465,2023-01-20,Zayed City,apartment,1497000,182,8228,corporate
TXN-01501,2023-01-20,Mohammed Bin Zayed City,townhouse,3199000,327,9782,individual
TXN-04701,2023-01-20,Masdar City,apartment,2527000,177,14277,corporate
TXN-01009,2023-01-21,Danet Abu Dhabi,apartment,2908000,232,12535,corporate
