parcel_id,district,zone,land_use,parcel_size_sqm,current_status,infrastructure_score,development_potential_score,estimated_value_aed,recommended_use
PRC-0001,Al Bahia,Z-RES-01,residential,6297,under_development,61,46,17880000,high_rise_residential
PRC-0002,Al Ghadeer,Z-RES-05,residential,14029,vacant,60,65,28260000,mid_rise_residential
PRC-0003,Al Zahiyah,Z-MIX-04,mixed_use,12905,developed,80,68,62640000,cultural_mixed_use
PRC-0004,Danet Abu Dhabi,Z-MIX-04,mixed_use,17322,developed,84,66,54270000,cultural_mixed_use
PRC-0005,Mohammed Bin Zayed City,Z-COM-05,commercial,6968,developed,69,78,20860000,financial_offices
PRC-0006,Corniche,Z-MIX-05,mixed_use,19613,under_development,95,63,118230000,marina_mixed_use
PRC-0007,Al Ghadeer,Z-CMU-03,community,15037,vacant,56,77,26170000,university_expansion
PRC-0008,Yas Island,Z-HOS-02,hospitality,21707,developed,74,57,93710000,marina_hotel
PRC-0009,Al Maryah Island,Z-RES-02,residential,13152,vacant,93,89,146780000,sustainable_residential
PRC-0010,Al Maryah Island,Z-MIX-03,mixed_use,12467,developed,94,85,123550000,transit_oriented_development
PRC-0011,Mohammed Bin Zayed City,Z-CMU-03,community,8660,under_development,62,47,21540000,university_expansion
PRC-0012,Mohammed Bin Zayed City,Z-RES-01,residential,7168,vacant,75,88,22890000,beachfront_residential
PRC-0013,Zayed City,Z-RES-05,residential,18410,developed,73,75,63090000,beachfront_residential
PRC-0014,Danet Abu Dhabi,Z-COM-02,commercial,8712,under_development,81,85,41850000,financial_offices
PRC-0015,Danet Abu Dhabi,Z-RES-02,residential,10895,under_development,84,63,44710000,affordable_housing
PRC-0016,Al Shamkha,Z-MIX-01,mixed_use,26832,under_development,61,84,63640000,cultural_mixed_use
PRC-0017,Mussafah,Z-RES-03,residential,10458,developed,67,92,15840000,low_rise_residential
PRC-0018,Mohammed Bin Zayed City,Z-HOS-05,hospitality,10214,vacant,58,83,19170000,urban_boutique_hotel
